index, timestamp, x, y, z, qx, qy, qz, qw
0, 1674492819.72952080, -0.00003062, 0.00151189, -0.00022659, 0.00009528, -0.00004302, -0.00162394, 0.99999868
1, 1674492819.81241226, -0.00298014, -0.01255673, 0.00211270, -0.00033047, 0.00001600, -0.00867150, 0.99996235
2, 1674492819.92527032, 0.01204132, -0.02713186, 0.00215253, -0.00006487, 0.00005020, -0.01761044, 0.99984492
3, 1674492820.01277137, -0.01032163, -0.02586724, 0.00152098, -0.00016288, 0.00014359, -0.02672757, 0.99964273
4, 1674492820.11435246, -0.02315323, -0.00212356, -0.00033553, -0.00008146, 0.00031359, -0.03282098, 0.99946119
5, 1674492820.21729565, 0.00068034, 0.01901804, -0.00402361, -0.00048733, -0.00050543, -0.03567195, 0.99936331
6, 1674492820.31756330, 0.02671241, 0.00595486, -0.00143440, -0.00098293, -0.00081160, -0.03745285, 0.99929758
7, 1674492820.41681433, 0.05814392, -0.00369851, -0.00169023, -0.00231787, -0.00119264, -0.04056505, 0.99917350
8, 1674492820.51953816, 0.07689671, -0.00931631, -0.00132193, -0.00258536, -0.00060377, -0.04550633, 0.99896052
9, 1674492820.61639571, 0.09654566, -0.02577785, 0.00178561, -0.00193024, -0.00070437, -0.05303228, 0.99859068
10, 1674492820.73208547, 0.15015548, -0.05690207, -0.00233401, -0.00154349, -0.00117858, -0.05758640, 0.99833864
11, 1674492820.82745790, 0.27829811, -0.07265621, -0.00407148, -0.00223333, -0.00205756, -0.05291012, 0.99859466
12, 1674492820.92174649, 0.37102282, -0.09137891, -0.00600444, -0.00213998, -0.00190883, -0.04867278, 0.99881066
13, 1674492821.03146315, 0.48351467, -0.10598185, -0.00412517, -0.00232252, -0.00205167, -0.04341042, 0.99905252
14, 1674492821.12417197, 0.58131850, -0.10361602, -0.00413977, -0.00228369, -0.00227925, -0.03766307, 0.99928529
15, 1674492821.22626495, 0.65282071, -0.10615387, -0.00312329, -0.00242128, -0.00237462, -0.03294837, 0.99945130
16, 1674492821.32290220, 0.72626764, -0.10691062, -0.00388988, -0.00242587, -0.00253158, -0.02955585, 0.99955698
17, 1674492821.42822099, 0.80266982, -0.10817010, -0.00276304, -0.00245231, -0.00265295, -0.02739461, 0.99961817
18, 1674492821.51635742, 0.89415306, -0.11491521, -0.00536062, -0.00242726, -0.00287159, -0.02530510, 0.99967270
19, 1674492821.62362289, 0.97381294, -0.12272431, -0.00496733, -0.00246265, -0.00301694, -0.02414960, 0.99970077
20, 1674492821.73139524, 1.06220913, -0.13316374, -0.00426893, -0.00248184, -0.00315167, -0.02386984, 0.99970703
21, 1674492821.83208513, 1.13802576, -0.12937994, -0.00482712, -0.00251875, -0.00329498, -0.02466862, 0.99968708
22, 1674492821.97308302, 1.24303329, -0.14010382, -0.00499473, -0.00251745, -0.00348699, -0.02565005, 0.99966173
23, 1674492822.05846882, 1.34498310, -0.15829347, -0.00469633, -0.00250014, -0.00367817, -0.02848889, 0.99958422
24, 1674492822.12377667, 1.42623210, -0.18259743, -0.00312579, -0.00253782, -0.00383246, -0.03319047, 0.99943847
25, 1674492822.23514271, 1.52722180, -0.18219951, -0.00167696, -0.00256150, -0.00403861, -0.03723637, 0.99929504
26, 1674492822.33627129, 1.60593367, -0.18267737, -0.00251197, -0.00248207, -0.00419838, -0.04147811, 0.99912751
27, 1674492822.43747616, 1.68202627, -0.18446501, -0.00405586, -0.00252979, -0.00441137, -0.04504867, 0.99897185
28, 1674492822.54496241, 1.75585032, -0.20034356, -0.00469967, -0.00249967, -0.00461163, -0.04928660, 0.99877090
29, 1674492822.64310694, 1.84497559, -0.21937026, -0.00450917, -0.00252225, -0.00475670, -0.05355640, 0.99855031
30, 1674492822.72970533, 1.92302394, -0.23271754, -0.00206619, -0.00249081, -0.00496523, -0.05811730, 0.99829431
31, 1674492822.83575654, 2.02097821, -0.23892444, -0.00404701, -0.00247815, -0.00529937, -0.06311733, 0.99798897
32, 1674492822.96527863, 2.10184193, -0.25263491, -0.00369422, -0.00242154, -0.00543857, -0.06802101, 0.99766613
33, 1674492823.04100943, 2.20655870, -0.27047691, -0.00026368, -0.00246581, -0.00554428, -0.07279649, 0.99732836
34, 1674492823.17309928, 2.29074955, -0.27762395, 0.00135392, -0.00245210, -0.00579570, -0.07815213, 0.99692158
35, 1674492823.24772525, 2.36617208, -0.29676664, 0.00185416, -0.00248016, -0.00594849, -0.08335881, 0.99649876
36, 1674492823.35870028, 2.45508838, -0.31267828, -0.00076023, -0.00245697, -0.00625937, -0.08916253, 0.99599439
37, 1674492823.45503068, 2.54333925, -0.33626819, 0.00040864, -0.00244771, -0.00645247, -0.09570766, 0.99538556
38, 1674492823.56290603, 2.64595151, -0.36776394, 0.00413645, -0.00236778, -0.00658809, -0.10196448, 0.99476341
39, 1674492823.65628457, 2.73378205, -0.38287860, 0.00737091, -0.00239235, -0.00667740, -0.10820936, 0.99410282
40, 1674492823.74990916, 2.83077621, -0.40691194, 0.00645134, -0.00230698, -0.00692906, -0.11432720, 0.99341631
41, 1674492823.84967709, 2.91716313, -0.42481294, 0.01268971, -0.00232210, -0.00696914, -0.12037200, 0.99270168
42, 1674492823.95676804, 3.00145149, -0.45837587, 0.01502581, -0.00232189, -0.00709674, -0.12709286, 0.99186272
43, 1674492824.06814194, 3.11490464, -0.47854963, 0.01501371, -0.00227839, -0.00730623, -0.13325863, 0.99105175
44, 1674492824.15561271, 3.17373466, -0.51498818, 0.01763874, -0.00227020, -0.00752951, -0.13922670, 0.99022931
45, 1674492824.25444818, 3.26700687, -0.53982192, 0.02189739, -0.00215707, -0.00771042, -0.14532140, 0.98935211
46, 1674492824.41637850, 3.36514020, -0.57229221, 0.02273865, -0.00210571, -0.00787313, -0.15123434, 0.98846434
47, 1674492824.46061730, 3.45862389, -0.58881247, 0.02314105, -0.00208353, -0.00805410, -0.15626363, 0.98768035
48, 1674492824.56718087, 3.53946495, -0.62243360, 0.02513488, -0.00205547, -0.00813810, -0.16107706, 0.98690614
49, 1674492824.68120575, 3.62294269, -0.65180224, 0.02755482, -0.00207538, -0.00822898, -0.16660032, 0.98598799
50, 1674492824.78830481, 3.72029114, -0.68074280, 0.02861249, -0.00206960, -0.00841106, -0.17216681, 0.98502973
51, 1674492824.87741899, 3.80271721, -0.70288378, 0.03046908, -0.00207330, -0.00866460, -0.17720850, 0.98413301
52, 1674492824.97023463, 3.89866590, -0.73979008, 0.02846366, -0.00201680, -0.00904485, -0.18174026, 0.98330290
53, 1674492825.06491685, 3.96366358, -0.77457017, 0.02906156, -0.00201350, -0.00932018, -0.18631332, 0.98244411
54, 1674492825.15107012, 4.06205940, -0.80348587, 0.03035210, -0.00202954, -0.00960326, -0.19077705, 0.98158432
55, 1674492825.25929332, 4.15189123, -0.84686488, 0.03007817, -0.00194304, -0.00982153, -0.19480236, 0.98079142
